subject_id,image_name_1
0,meter07-compressed.jpg
1,body_butterfly04-compressed.jpg
2,caravan07-compressed.jpg
3,onion09-compressed.jpg
4,RV05-compressed.jpg
5,RV10-compressed.jpg
6,xylophone06-compressed.jpg
7,harp08-compressed.jpg
8,body_horse01-compressed.jpg
9,tambourine08-compressed.jpg
10,baby_male_face01-compressed.jpg
11,scouring_pad01-compressed.jpg
12,egg10-compressed.jpg
13,body_tiger03-compressed.jpg
14,egg05-compressed.jpg
15,cushion09-compressed.jpg
16,lamp08-compressed.jpg
17,face_elk04-compressed.jpg
18,toothbrush10-compressed.jpg
19,pipe_wrench04-compressed.jpg
20,toothbrush05-compressed.jpg
21,sink10-compressed.jpg
22,sink05-compressed.jpg
23,christmas_gift04-compressed.jpg
24,violin03-compressed.jpg
25,body_trout03-compressed.jpg
26,car06-compressed.jpg
27,step_ladder10-compressed.jpg
28,step_ladder05-compressed.jpg
29,body_anemone_fish09-compressed.jpg
30,banana03-compressed.jpg
31,watch03-compressed.jpg
32,elder_male_face107-compressed.jpg
33,cherry10-compressed.jpg
34,flowerpot10-compressed.jpg
35,flowerpot05-compressed.jpg
36,cherry05-compressed.jpg
37,checkers07-compressed.jpg
38,clothespin09-compressed.jpg
39,guitar06-compressed.jpg
40,face_snake09-compressed.jpg
41,body_ray03-compressed.jpg
42,cereal05-compressed.jpg
43,cereal10-compressed.jpg
44,face_bear06-compressed.jpg
45,camisole02-compressed.jpg
46,face_dog06-compressed.jpg
47,fruit_salad04-compressed.jpg
48,peach07-compressed.jpg
49,scarf01-compressed.jpg
50,face_common_iguana07-compressed.jpg
51,sailboat01-compressed.jpg
52,walkie-talkie01-compressed.jpg
53,body_koala02-compressed.jpg
54,mop06-compressed.jpg
55,adolescent_male_face24-compressed.jpg
56,body_leopard10-compressed.jpg
57,body_leopard05-compressed.jpg
58,body_dolphin08-compressed.jpg
59,tape02-compressed.jpg
60,kite10-compressed.jpg
61,kite05-compressed.jpg
62,radish09-compressed.jpg
63,swing04-compressed.jpg
64,face_owl09-compressed.jpg
65,body_lionfish09-compressed.jpg
66,cargo_ship05-compressed.jpg
67,golf_ball06-compressed.jpg
68,sharpener09-compressed.jpg
69,adult_male_face01-compressed.jpg
