subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
61509825,11747,,95212,"{""Filename"":""adolescent_female_face00.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/bb3ef4d0-dfbd-4bde-a6c1-30211ca4d547.jpeg""}",0,,,2021-05-21 12:57:37 UTC,2021-05-21 12:57:37 UTC
61509826,11747,,95212,"{""Filename"":""adolescent_female_face24.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/822ffc42-8f7d-4b62-9bf0-a35b7ae70d7a.jpeg""}",0,,,2021-05-21 12:57:37 UTC,2021-05-21 12:57:37 UTC
61509827,11747,,95212,"{""Filename"":""adolescent_female_face28.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/371cc46d-2f74-4689-a3b0-9d9204eee939.jpeg""}",0,,,2021-05-21 12:57:38 UTC,2021-05-21 12:57:38 UTC
61509828,11747,,95212,"{""Filename"":""adult_female_face65.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3e955d0b-a506-4f10-9d00-0224e7a9987a.jpeg""}",0,,,2021-05-21 12:57:38 UTC,2021-05-21 12:57:38 UTC
61509830,11747,,95212,"{""Filename"":""apple01.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2ecd6992-2e53-4d46-bb4d-7782e9afc93a.jpeg""}",0,,,2021-05-21 12:57:38 UTC,2021-05-21 12:57:38 UTC
61509831,11747,,95212,"{""Filename"":""body_bee01.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/c140ae34-d5db-4d55-b7f7-a69d482d60c7.jpeg""}",0,,,2021-05-21 12:57:39 UTC,2021-05-21 12:57:39 UTC
61509832,11747,,95212,"{""Filename"":""body_dog01.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/50365d6c-858b-4c05-9bbd-e657a728ff32.jpeg""}",0,,,2021-05-21 12:57:39 UTC,2021-05-21 12:57:39 UTC
61509833,11747,,95212,"{""Filename"":""body_falcon01.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/4bb17d80-07e4-4337-9b96-52c2f6c8397e.jpeg""}",0,,,2021-05-21 12:57:39 UTC,2021-05-21 12:57:39 UTC
61509834,11747,,95212,"{""Filename"":""body_fox01.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f81dbbce-366d-41f6-97de-87f9b27d2cae.jpeg""}",0,,,2021-05-21 12:57:39 UTC,2021-05-21 12:57:39 UTC
61509835,11747,,95212,"{""Filename"":""body_grasshopper01.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9a6e7d22-6be5-451b-a2b3-62faea256d93.jpeg""}",0,,,2021-05-21 12:57:40 UTC,2021-05-21 12:57:40 UTC
